,risk_id,Меры/рекомендации
0,1,a. Регулярное техническое обслуживание и проверка герметичности азотных систем и соединений
1,1,"b. Обучение персонала правилам эксплуатации и обслуживания азотных систем, включая меры безопасности и процедуры аварийного реагирования"
2,1,c. Установка датчиков кислорода и сигнализации для контроля содержания кислорода в рабочих зонах
3,1,"d. Использование специальных средств индивидуальной защиты для работы с азотом, включая кислородные маски "
4,2,"a. Регулярное техническое обслуживание и проверка герметичности оборудования и трубопроводов, через которые транспортируется метанол"
5,2," b. Обучение персонала правилам безопасной работы с метанолом, включая меры безопасности и процедуры аварийного реагирования"
6,2,c. Установка датчиков утечки метанола и систем автоматического прекращения подачи метанола при обнаружении утечки
7,2,"d. Использование средств индивидуальной защиты при работе с метанолом, включая химически защитную одежду и средства защиты дыхания"
9,3,"a. Регулярное техническое обслуживание и проверка герметичности оборудования и трубопроводов, через которые транспортируется индустриальное масло"
10,3,"b. Обучение персонала правилам безопасной работы с индустриальным маслом, включая меры безопасности и процедуры аварийного реагирования"
11,3,c. Установка датчиков утечки индустриального масла и систем автоматического прекращения подачи масла при обнаружении утечки
12,3,"d. Проведение регулярных тренировок и инструктажей по безопасности для персонала, работающего с индустриальным маслом"
13,3,"a. Регулярное техническое обслуживание и проверка герметичности оборудования и трубопроводов, через которые транспортируется сероводород или его смесь с углеводородами"
14,3,"b. Установка датчиков загазованности, способных обнаруживать наличие сероводорода и сигнализировать об этом персоналу"
15,3,"c. Обучение персонала правилам безопасной работы со взрывоопасными и токсичными веществами, включая меры безопасности и процедуры аварийного реагирования при утечке сероводорода"
16,3,"d. Использование средств индивидуальной защиты при работе с сероводородом, включая химически защитную одежду и средства защиты дыхания"
17,3,"e. Разработка и реализация планов действий при чрезвычайных ситуациях, связанных с утечкой сероводорода и его смесей с углеводородами"
18,4,"a. Регулярное техническое обслуживание и проверка герметичности оборудования и трубопроводов, через которые транспортируется топливный газ"
19,4,"b. Установка датчиков загазованности, способных обнаруживать наличие топливного газа и сигнализировать об этом персоналу"
20,4,"c. Обучение персонала правилам безопасной работы с газами, включая меры безопасности и процедуры аварийного реагирования при утечке топливного газа"
21,4,"d. Использование средств индивидуальной защиты при работе с топливным газом, включая средства защиты дыхания и специальную одежду"
22,4,"e. Разработка и реализация планов действий при чрезвычайных ситуациях, связанных с утечкой топливного газа"
23,5,"a. Регулярное техническое обслуживание и проверка герметичности оборудования и трубопроводов, через которые транспортируется нефтегазоконденсатная смесь"
24,5,"b. Установка датчиков загазованности, способных обнаруживать наличие нефтегазоконденсатной смеси и сигнализировать об этом персоналу"
25,5,"c. Обучение персонала правилам безопасной работы с нефтегазоконденсатной смесью, включая меры безопасности и процедуры аварийного реагирования при утечке смеси"
26,5,"d. Использование средств индивидуальной защиты при работе с нефтегазоконденсатной смесью, включая средства защиты дыхания и специальную одежду"
27,5,"e. Разработка и реализация планов действий при чрезвычайных ситуациях, связанных с утечкой нефтегазоконденсатной смеси "
28,6,"a. Регулярный осмотр и обслуживание фланцевых соединений, обучение персонала, установка датчиков утечки газа "
29,6,"b. Регулярное осмотр и обслуживание сальниковых уплотнений, сварных швов, антикоррозийная защита аппаратуры, мониторинг концентрации газов на рабочих местах"
30,6," c. Технический осмотр оборудования, регулярное обслуживание, проведение инструктажа по безопасности перед проведением ремонтных работ, использование систем детектирования газов"
31,7,"a. Регулярное обслуживание оборудования, контроль параметров работы, обучение персонала"
32,7,"b. Проведение инструктажа перед началом работы с оборудованием, регулярный контроль качества работы персонала, использование систем автоматического контроля работы оборудования "
33,7,"c. Проведение инструктажа по безопасности, регулярное обучение персонала по мерам безопасности, применение средств индивидуальной защиты, контроль соблюдения мер безопасности на рабочих местах"
34,8,"a. Обучение персонала правилам использования инструмента, регулярный технический осмотр инструментов, использование инструментов с искробезопасным покрытием в зонах повышенной пожароопасности"
35,8,"b. Ограничение использования инструментов, дающих искру, вблизи горючих и газообразных веществ, использование альтернативных искробезопасных инструментов"
36,8,"c. Обучение рабочих использованию средств индивидуальной защиты, контроль использования средств индивидуальной защиты на рабочих местах"
37,9,"a. Проведение инструктажа по пожарной безопасности, использование средств пожаротушения, контроль соблюдения требований пожарной безопасности при проведении ремонтных работ"
38,9,"b. Обучение рабочих использованию средств индивидуальной защиты, контроль использования средств индивидуальной защиты на рабочих местах"
39,9,"c. Обучение рабочих порядку получения разрешений на проведение ремонтных работ, контроль оформления необходимой документации перед началом работ, назначение ответственных лиц за проведение и контроль ремонтных работ"
40,10,"a. Регулярное техническое обслуживание и проверка оборудования, своевременная замена изношенных деталей"
41,10,"b. Обслуживание и проверка средств контроля и автоматизации, обучение персонала правилам работы с данными системами "
42,10,"c. Технический осмотр предохранительных клапанов, регулярное тестирование их работоспособности "
43,10,"d. Регулярное обслуживание и проверка электрооборудования, проведение мероприятий по повышению электробезопасности "
44,10,"e. Обслуживание и проверка средств защиты от статического электричества, обучение персонала правилам работы с этими средствами"
45,11,"a. Использование средств защиты от статического электричества, обучение персонала правилам работы с этими средствами и их применению "
46,11,"b. Обеспечение заземления технологического оборудования, контейнеров и транспортных средств для предотвращения накопления статического электричества"
