,risk_id,Наименование риска,Класс опасности,Вероятность,Ущерб,Риск,Возможные сценарии
0,1,Утечка газообразного азота,Технологические риски,Средняя,Средний,5.0,"a. Утечка газообразного азота может привести к образованию атмосферы, снижающей содержание кислорода, что создает риск асфиксии для персонала"
1,2,Утечка метанола (метанольная вода),Экологические риски,Низкая,Средний,3.0,"a. Утечка метанола может вызвать пожары и взрывы из-за его высокой горючести и легковоспламеняемости, b. Утечка метанола может привести к отравлению работников и окружающей среды из-за его токсичности"
2,3,"Утечка сероводорода, сероводорода в смеси с углеводородами",Технологические риски,Средняя,Средний,5.0,"a. Утечка индустриального масла может вызвать пожары и взрывы из-за горючести масла и образования масляного тумана, b. Утечка индустриального масла может привести к загрязнению окружающей среды и повреждению оборудования, c. Утечка индустриального масла может создать скользкие поверхности, что увеличивает риск травматизма персонала, a. Утечка сероводорода или его смеси с углеводородами может вызвать риск отравления персонала, так как сероводород является высокотоксичным веществом, b. Утечка сероводорода может вызвать коррозию оборудования, связанного с обработкой и транспортировкой газа, c. Утечка сероводорода может привести к загрязнению окружающей среды"
3,4,Утечка топливного газа,Экологические риски,Высокая,Высокий,9.0,"a. Утечка топливного газа может вызвать риск взрыва и возгорания на территории предприятия , b. Утечка топливного газа может вызвать проблемы с дыхательной системой персонала и посетителей предприятия, c. Утечка топливного газа может привести к экологическому воздействию на окружающую среду и обитающих в ней организмов"
4,5,Утечка нефтегазоконденсатной смеси,Экологические риски,Средняя,Средний,5.0,"a. Утечка нефтегазоконденсатной смеси может вызвать возгорание или взрыв на территории предприятия, b. Утечка нефтегазоконденсатной смеси может вызвать отравления или проблемы с дыхательной системой персонала и посетителей предприятия, c. Утечка нефтегазоконденсатной смеси может привести к загрязнению окружающей среды, воздуха и водных ресурсов"
5,6,"Загазованность рабочих помещений и территории установки взрывоопасными парами и газами при утечке их через неплотности фланцевых соединений, сальниковых уплотнений, сварных швов, при коррозии аппаратуры с образованием сквозных отверстий, а также при разборке неподготовленных к ремонту аппаратов и трубопроводов.",Технологические риски,Высокая,Высокий,9.0,"a. Утечка газа через неплотности фланцевых соединений - риск взрыва и пожара, опасность для персонала, b. Утечка газа через сальниковые уплотнения, сварные швы, коррозию аппаратуры - риск отравления персонала, негативное воздействие на окружающую среду, c. Утечка газа при разборке неподготовленных к ремонту аппаратов и трубопроводов - дополнительный риск взрыва и пожара, опасность для персонала"
6,7,"Нарушения технологического режима работы оборудования и мер безопасности, предусмотренных регламентом и инструкциями по эксплуатации.",Риски персонала,Средняя,Средний,5.0,"a. Превышение допустимых параметров работы оборудования - износ и повреждение оборудования, риск аварий и травм , b. Несоблюдение инструкций по эксплуатации оборудования - неправильная работа оборудования, риск аварий и травм, c. Несоблюдение мер безопасности, предусмотренных регламентом - угроза безопасности персонала, возможность возникновения взрывов и пожаров"
7,8,"Применение при производстве ремонтных работ неисправного инструмента, дающего искру при ударах.",Технологические риски,Средняя,Средний,5.0,"a. Использование неисправного инструмента в зоне повышенной пожароопасности - риск возникновения пожара и взрыва, опасность для персонала и оборудования, b. Использование неисправного инструмента вблизи горючих и газообразных веществ - риск взрыва, возможность травм и аварийных ситуаций, c. Использование неисправного инструмента без средств индивидуальной защиты - повышенный риск травмирования рабочих"
8,9,Производство ремонтных работ на территории цеха и в рабочих помещениях с нарушением требований промышленной и пожарной безопасности.,Риски персонала,Средняя ,Высокий,6.0,"a. Ремонтные работы с использованием открытого огня без соблюдения пожарной безопасности - риск возникновения пожара и взрыва, опасность для персонала и оборудования , b. Ремонтные работы без использования средств индивидуальной защиты - риск травмирования рабочих, негативное влияние на процесс производства, c. Ремонтные работы без предварительного разрешения и оформления необходимой документации - риск нарушения технологического процесса, возможность аварий и непредвиденных ситуаций"
9,10,"Неисправность технологического оборудования, средств контроля и автоматизации, предохранительных клапанов, электрооборудования, а также средств защиты от статического электричества.",Технологические риски,Высокая,Высокий,9.0,"a. Отказ технологического оборудования - нарушение производственного процесса, риск аварий, взрывов и пожаров, b. Отказ средств контроля и автоматизации - потеря контроля над процессом, возможность непредвиденных ситуаций и аварий, c. Отказ предохранительных клапанов - риск перегрузки оборудования, возможность аварий и повреждений, d. Отказ электрооборудования - нарушение электроснабжения, возможность возникновения пожаров и аварий , e. Отказ средств защиты от статического электричества - риск возникновения искр, пожаров и взрывов"
10,11,Разряды статического электричества.,Технологические риски,Низкая,Низкий,2.0,"a. Разряд статического электричества вблизи горючих и взрывоопасных веществ - риск возникновения пожара и взрыва, опасность для персонала и оборудования, b. Разряд статического электричества в процессе обработки и транспортировки взрывоопасных материалов - риск аварий и непредвиденных ситуаций , c. Разряд статического электричества при контакте с электрооборудованием - возможность травм и поражения электрическим током"
11,12,Грозовые разряды.,Форс-мажорные риски,Очень низкая,Средний,2.0,"a. Грозовой разряд в области производственных объектов - риск повреждения оборудования, пожаров и взрывов, опасность для персонала, b. Грозовой разряд в электрооборудование - возможность короткого замыкания, повреждения оборудования и нарушения электроснабжения, c. Грозовой разряд в здания и сооружения - риск повреждения зданий, опасность для находящихся внутри людей"
